goos: darwin
goarch: amd64
pkg: github.com/grafana/tempo/tempodb/encoding/vparquet4
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99,_.9,_.5)/5                                      	       3	 383407293 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1625478 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99,_.9,_.5)/5                                      	       3	 349993555 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1780662 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99,_.9,_.5)/5                                      	       3	 356405513 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1748627 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99,_.9,_.5)/5                                      	       3	 351360891 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1773732 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99,_.9,_.5)/5                                      	       3	 359101794 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1735498 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99)_by_(span.http.status_code)/5                   	       2	 587450929 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1060889 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99)_by_(span.http.status_code)/5                   	       2	 595679058 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1046235 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99)_by_(span.http.status_code)/5                   	       2	 596807906 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1044256 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99)_by_(span.http.status_code)/5                   	       2	 618259827 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1008023 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99)_by_(span.http.status_code)/5                   	       2	 587490048 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1060818 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99)_by_(span.http.status_code)/5                   	       2	 652668604 ns/op	         6.913 MB_IO/op	    623220 spans/op	    954880 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99)_by_(span.http.status_code)/5                   	       2	 579852056 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1074792 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99)_by_(span.http.status_code)/5                   	       2	 595741561 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1046125 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99)_by_(span.http.status_code)/5                   	       2	 596168163 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1045377 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99)_by_(span.http.status_code)/5                   	       2	 615763904 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1012109 spans/s
BenchmarkBackendBlockQueryRange/{}_|_histogram_over_time(duration)/5                                                  	       3	 358429589 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1738752 spans/s
BenchmarkBackendBlockQueryRange/{}_|_histogram_over_time(duration)/5                                                  	       3	 373354838 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1669244 spans/s
BenchmarkBackendBlockQueryRange/{}_|_histogram_over_time(duration)/5                                                  	       3	 439308205 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1418640 spans/s
BenchmarkBackendBlockQueryRange/{}_|_histogram_over_time(duration)/5                                                  	       3	 409174408 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1523116 spans/s
BenchmarkBackendBlockQueryRange/{}_|_histogram_over_time(duration)/5                                                  	       3	 357631530 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1742633 spans/s
BenchmarkBackendBlockQueryRange/{}_|_histogram_over_time(duration)/5                                                  	       3	 362618936 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1718664 spans/s
BenchmarkBackendBlockQueryRange/{}_|_histogram_over_time(duration)/5                                                  	       3	 364205138 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1711179 spans/s
BenchmarkBackendBlockQueryRange/{}_|_histogram_over_time(duration)/5                                                  	       3	 359800301 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1732128 spans/s
BenchmarkBackendBlockQueryRange/{}_|_histogram_over_time(duration)/5                                                  	       3	 358269995 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1739527 spans/s
